port_name,ship_count,latitude,longitude,country,alternative_names,notes
Sheet Harbour,58,44.901,-62.507,Canada,"Sheet Harbour, Nova Scotia",Nova Scotia port 53mi from Europe route
Charlottetown,58,46.235,-63.121,Canada,"Charlottetown, Prince Edward Island",PEI capital and port
Portland (Me.),58,43.661,-70.255,United States,"Portland, Maine",Major New England port
Colon,57,9.375,-79.887,Panama,,Port at Caribbean entrance to Panama Canal
Brunswick,65,31.133,-81.583,United States,"Brunswick, Georgia",Major auto port
Flushing,62,51.45,3.60,Netherlands,"Vlissingen, Flushing",Dutch port on Westerschelde
Rugenwalde,61,54.421,16.411,Poland,"Darłowo, Rügenwalde",Baltic Sea port with Hanseatic history
Sapelo,90,31.390,-81.284,United States,"Sapelo Island, Georgia",Georgia barrier island port
Sydney,84,46.135,-60.183,Canada,"Sydney, Nova Scotia",Cape Breton deep-water port
Metis,68,48.670,-68.000,Canada,"Métis-sur-Mer, Quebec",St. Lawrence River port
Jacksonville,52,30.375,-81.559,United States,"Jacksonville, Florida",Major Florida port on St. Johns River
Pictou,47,45.678,-62.708,Canada,"Pictou, Nova Scotia",Historic Nova Scotia harbour town
Falkenberg,174,56.9,12.5,Sweden,,West coast Swedish port at River Atran mouth
Soroka,160,64.523,34.767,Russia,"Belomorsk, Karelia",White Sea port formerly known as Soroka
Belize,155,17.505,-88.196,Belize,Belize City,Principal Central American port
Jamaica,159,17.997,-76.794,Jamaica,Kingston,Caribbean capital and major port
Genoa,53,44.403,8.917,Italy,"Genova, Genoa",Major Mediterranean port in Liguria
Bahia,51,-12.955,-38.505,Brazil,"Salvador, Bahia",Historic Brazilian Atlantic port (Note: South latitude)
Rivadeo,52,43.534,-7.040,Spain,"Ribadeo, Galicia",Northern Spanish port in Lugo province
Attu,53,60.178,22.336,Finland,"Attu Island, Pargas",Southwestern Finland island port
Kem,54,64.955,34.579,Russia,"Kem, Karelia",White Sea port gateway to Solovetsky
Pataholm,51,56.55,16.25,Sweden,,Small Swedish east coast port
Wifstavarv,45,62.498,17.342,Sweden,"Vivstavarv, Timrå",Historical shipyard area in Västernorrland
Tampico,57,22.24,-97.86,Mexico,"Tampico, Tamaulipas",Major Gulf of Mexico port
Trangsund,30,59.223,18.125,Sweden,"Trångsund, Huddinge",Port area south of Stockholm
Lappvik,41,59.903,23.242,Finland,"Lappohja, Hanko",Port in Hanko municipality
Nyland,28,60.166,24.957,Finland,"Helsinki, Uusimaa",Main port of Nyland/Uusimaa region
Xiania,40,35.516,24.018,Greece,"Chania, Crete",Historic Cretan port
St. John (N.B.),1244,45.254,-66.032,Canada,"Saint John, New Brunswick",Major timber port
Krageroe,558,58.869,9.415,Norway,Kragerø,Telemark county port on Skagerrak coast
Fredrikstadt,386,59.218,10.930,Norway,Fredrikstad,Norwegian port near Oslo in Østfold county
Bergqvara,237,56.383,16.083,Sweden,Bergkvara,Swedish port south of Kalmar
Neder Kalix,219,65.855,23.144,Sweden,Nederkalix,Northern Swedish port in Norrbotten County
Halifax (N.S.),187,44.651,-63.583,Canada,"Halifax, Nova Scotia",Major Atlantic port and naval base
Bay Verte,186,46.015,-64.103,Canada,"Baie Verte, New Brunswick",Port near Confederation Bridge
Langesund,152,59.00,9.745,Norway,,Telemark port town
Savannah,130,32.084,-81.100,United States,"Savannah, Georgia",Major Southern U.S. port
Chatham (N.B.),124,47.017,-65.0,Canada,"Chatham, New Brunswick",Now part of Miramichi
Pugwash,122,45.851,-63.660,Canada,"Pugwash, Nova Scotia",Salt shipping port on Northumberland Strait
Demerara,121,6.804,-58.155,Guyana,Georgetown,Port at mouth of Demerara River
Drobak,116,59.663,10.630,Norway,Drøbak,Port on Oslofjord in Akershus
Minatitlan,111,17.979,-94.549,Mexico,"Minatitlán, Veracruz",River port in Gulf of Mexico
St. Nazaire,109,47.273,-2.214,France,Saint-Nazaire,Major French Atlantic port
Lovisa,105,60.458,26.228,Finland,Loviisa,Finnish port 60nm east of Helsinki
La Rochelle,90,46.156,-1.151,France,,Historic French Atlantic port
Calcutta,93,22.573,88.364,India,"Kolkata, Calcutta",India's oldest operating port on Hooghly River
Ostend,83,51.226,2.906,Belgium,"Oostende, Ostend",Belgian North Sea port
Singapore,80,1.264,103.823,Singapore,,One of world's busiest ports
Muros,79,42.774,-9.058,Spain,,Galician fishing and harbour town
Paimpol,78,48.780,-3.049,France,,Breton port in Côtes-d'Armor
Pernau,78,58.386,24.497,Estonia,"Pärnu, Pernau",Estonian Baltic Sea port
Grimstad,77,58.341,8.594,Norway,,Southern Norwegian coastal town
Jacobstad,71,63.674,22.697,Finland,"Pietarsaari, Jakobstad",Finnish west coast port on Gulf of Bothnia
Charleston,71,32.781,-79.924,United States,"Charleston, South Carolina",Historic Southern port
Constantinople,58,41.014,28.980,Turkey,"Istanbul, Byzantium",Historic port at Bosphorus Strait (Note: Already as Christiania in GeoJSON)
Bathurst (N.B.),58,47.617,-65.699,Canada,"Bathurst, New Brunswick",Northern New Brunswick port
Sheet Harbour,58,44.901,-62.507,Canada,"Sheet Harbour, Nova Scotia",Nova Scotia port 53mi from Europe route
Charlottetown,58,46.235,-63.121,Canada,"Charlottetown, PEI",PEI capital and port
Portland (Me.),58,43.661,-70.255,United States,"Portland, Maine",Major New England port
Colon,57,9.375,-79.887,Panama,,Port at Caribbean entrance to Panama Canal
Brunswick,65,31.133,-81.583,United States,"Brunswick, Georgia",Major auto port
Flushing,62,51.45,3.60,Netherlands,"Vlissingen, Flushing",Dutch port on Westerschelde
Rugenwalde,61,54.421,16.411,Poland,"Darłowo, Rügenwalde",Baltic Sea port with Hanseatic history
Sapelo,90,31.390,-81.284,United States,"Sapelo Island, Georgia",Georgia barrier island port
Sydney,84,46.135,-60.183,Canada,"Sydney, Nova Scotia",Cape Breton deep-water port
Metis,68,48.670,-68.000,Canada,"Métis-sur-Mer, Quebec",St. Lawrence River port
Jacksonville,52,30.375,-81.559,United States,"Jacksonville, Florida",Major Florida port on St. Johns River
Pictou,47,45.678,-62.708,Canada,"Pictou, Nova Scotia",Historic Nova Scotia harbour town
Arendal,58,58.462,8.775,Norway,,Major Norwegian port in Agder
Flekkefjord,48,58.286,6.664,Norway,,Southwestern Norwegian port
Mandal,50,58.021,7.449,Norway,,Southernmost port in Norway
Egersund,45,58.383,6.041,Norway,,Rogaland county port
Porsgrunn,62,59.085,9.646,Norway,,Industrial port on Skien River
Skien,40,59.210,9.609,Norway,,Telemark county seat with river port
Tvedestrand,35,58.623,8.932,Norway,,Small Agder county port
Risor,42,58.717,9.233,Norway,Risør,Historic white timber town port
Lillesand,38,58.248,8.380,Norway,,Small port between Kristiansand and Arendal
Molde,55,62.733,7.167,Norway,,Rose city port on Romsdalsfjord
Kristiansund,48,63.111,7.728,Norway,,Major fishing and oil service port
Namsos,40,64.467,11.500,Norway,,Namdalen region port on Namsenfjord
Trondheim,72,63.422,10.370,Norway,,Major port and university city
Bodo,52,67.280,14.405,Norway,Bodø,Northern Norway port above Arctic Circle
Hammerfest,38,70.667,23.711,Norway,,World's northernmost city port
Vardo,32,70.383,31.007,Norway,Vardø,Easternmost Norwegian port on Barents Sea
Vadso,28,70.085,29.739,Norway,Vadsø,Arctic port in Finnmark
Haparanda,45,65.842,24.128,Sweden,,Swedish port on Finnish border
Lulea,95,65.583,22.167,Sweden,Luleå,Major northern Swedish port
Pitea,68,65.314,21.479,Sweden,Piteå,Bothnian Bay timber port
Skelleftea,58,64.682,21.279,Sweden,Skellefteå,Industrial port in Västerbotten
Umea,62,63.822,20.270,Sweden,Umeå,University city port on Bothnian Sea
Ornskoldsvik,75,63.291,18.715,Sweden,Örnsköldsvik,Northern Swedish east coast port
Harnosand,70,62.636,17.941,Sweden,Härnösand,Ångermanland county port
Holmestrand,48,59.483,10.317,Norway,,Vestfold county port on Oslofjord
Tonsberg,55,59.260,10.425,Norway,Tønsberg,Ancient Viking-era port
Larvik,52,59.053,10.035,Norway,,Major port in Vestfold og Telemark
Stavanger,85,58.970,5.733,Norway,,Major oil industry port
Haugesund,60,59.414,5.268,Norway,,Western Norwegian fishing port
Bergen,120,60.388,5.307,Norway,,Norway's second city and historic Hanseatic port
Alesund,65,62.472,6.149,Norway,Ålesund,Art Nouveau port city
Norrkoping,78,58.594,16.196,Sweden,Norrköping,Major Baltic Sea port
Gavle,88,60.676,17.155,Sweden,Gävle,Major east coast port
Soderhamn,52,61.308,17.071,Sweden,Söderhamn,Gävleborg county port
Marstrand,35,57.891,11.576,Sweden,,Historic island port and fortress
Solvesborg,42,56.051,14.591,Sweden,Sölvesborg,Southern Swedish Baltic port
Oskarshamn,55,57.266,16.452,Sweden,,East coast port with ferry connections
Vastervik,48,57.757,16.644,Sweden,Västervik,Småland archipelago port
