cargo_id,record_id,ship_name,origin_port,origin_latitude,origin_longitude,destination_port,destination_latitude,destination_longitude,arrival_year,arrival_month,arrival_day,commodity,quantity,unit,merchant,source_file,line_number,raw_cargo_segment
11,1,Primrose,Riga,56.9520033661236,24.1136539340975,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,boards,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",7,"3,409 deals, 41,975 pcs. boards, 7,077 staves, Tagart & Co. Tonsberg @ Fredrikstad,"
12,1,Primrose,Riga,56.9520033661236,24.1136539340975,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,staves,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",7,"3,409 deals, 41,975 pcs. boards, 7,077 staves, Tagart & Co. Tonsberg @ Fredrikstad,"
13,1,Primrose,Riga,56.9520033661236,24.1136539340975,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,flooring boards,,,R. H. Dahl and Co,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",7,"28,899 pcs. flooring boards, 190 bdls. laths, R. H. Dahl & Co."
14,1,Primrose,Riga,56.9520033661236,24.1136539340975,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,laths,,,R. H. Dahl and Co,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",7,"28,899 pcs. flooring boards, 190 bdls. laths, R. H. Dahl & Co."
15,2,Christiana,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,firewood,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",7,"110 fms. firewood, With & Co. (part of deck cargo washed overboard). Svea @ Christiania,"
16,2,Christiana,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,firewood,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",7,"208 fms. firewood, Dahl & Sadler. Amelia @ Saunesund,"
17,2,Christiana,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,firewood,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",7,"227 fms. firewood, Duus, Brown, & Co. (about 15 fms. thrown overboard). Cecilia @ Fredrikstad,"
18,2,Christiana,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,firewood,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",7,"176 fms. firewood, Erlundsen. Haabets Anker @ Fredrikstad,"
19,2,Christiana,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,deals,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",7,"3,409 deals, 41,975 pcs. boards, 7,077 staves, Tagart & Co. Tonsberg @ Fredrikstad,"
20,2,Christiana,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,boards,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",7,"3,409 deals, 41,975 pcs. boards, 7,077 staves, Tagart & Co. Tonsberg @ Fredrikstad,"
21,2,Christiana,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,staves,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",7,"3,409 deals, 41,975 pcs. boards, 7,077 staves, Tagart & Co. Tonsberg @ Fredrikstad,"
22,2,Christiana,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,flooring boards,,,R. H. Dahl and Co,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",7,"28,899 pcs. flooring boards, 190 bdls. laths, R. H. Dahl & Co."
23,2,Christiana,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,laths,,,R. H. Dahl and Co,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",7,"28,899 pcs. flooring boards, 190 bdls. laths, R. H. Dahl & Co."
24,3,Gwalia,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,spars,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",8,"5,107 spars and masts, W. Cossery. Try @ Drammen,"
25,3,Gwalia,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,masts,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",8,"5,107 spars and masts, W. Cossery. Try @ Drammen,"
26,3,Gwalia,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,battens,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",8,"724 doz. battens, 3,871 doz. boards, Tagart & Co. Fosnes @ Fredrikstad,"
27,3,Gwalia,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,boards,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",8,"724 doz. battens, 3,871 doz. boards, Tagart & Co. Fosnes @ Fredrikstad,"
28,3,Gwalia,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,firewood,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",8,"114 fms. firewood, J. Neck & Son. Agnar @ Drammen,"
29,3,Gwalia,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,firewood,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",8,"207 fms. firewood, 1 fm. edgings, 4 fms. slabs, With & Co. Earl of Shaftesbury @ Skien,"
30,3,Gwalia,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,fm edgings,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",8,"207 fms. firewood, 1 fm. edgings, 4 fms. slabs, With & Co. Earl of Shaftesbury @ Skien,"
31,3,Gwalia,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,slabs,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",8,"207 fms. firewood, 1 fm. edgings, 4 fms. slabs, With & Co. Earl of Shaftesbury @ Skien,"
32,3,Gwalia,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,firewood,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",8,"203 fms. firewood, J. Neck & Son. Henry @ Sarpsborg,"
33,3,Gwalia,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,firewood,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",8,"168 fms. firewood, With & Co. Parr @ Christiania,"
34,3,Gwalia,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,firewood,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",8,"22 fms. firewood, J. Neck & Son. Cora @ Dram,"
35,3,Gwalia,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,battens,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",8,"2,621 battens, Nansen. Charles Northcote @ Gothenburg,"
36,3,Gwalia,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,logs,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",8,"12 logs and 25 t. mahogany, 6,011 spars and m'sts, C. G. Graham & Co. Sophie @ Christiania,"
37,3,Gwalia,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,t mahogany,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",8,"12 logs and 25 t. mahogany, 6,011 spars and m'sts, C. G. Graham & Co. Sophie @ Christiania,"
38,3,Gwalia,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,spars,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",8,"12 logs and 25 t. mahogany, 6,011 spars and m'sts, C. G. Graham & Co. Sophie @ Christiania,"
39,3,Gwalia,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,m'sts,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",8,"12 logs and 25 t. mahogany, 6,011 spars and m'sts, C. G. Graham & Co. Sophie @ Christiania,"
40,3,Gwalia,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,c g graham,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",8,"12 logs and 25 t. mahogany, 6,011 spars and m'sts, C. G. Graham & Co. Sophie @ Christiania,"
41,3,Gwalia,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,boards,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",8,"25,199 boards, 8 fms. firewood, G. Schofield. Isabella @ Christiania,"
42,3,Gwalia,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,firewood,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",8,"25,199 boards, 8 fms. firewood, G. Schofield. Isabella @ Christiania,"
43,3,Gwalia,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,mahogany,,,"With, Webster, and Co","1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",8,"412 logs mahogany and cedar, With, Webster, & Co."
44,3,Gwalia,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,cedar,,,"With, Webster, and Co","1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",8,"412 logs mahogany and cedar, With, Webster, & Co."
45,4,Strang,Drammen,59.7478785493119,10.1840215950051,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,battens,,,J. C. Im Thurn and Co,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",9,"322 doz. battens, J. Neck & Son 390 doz. battens, J. C. Im Thurn & Co."
46,5,Atalanta,Klaipeda,55.71722,21.12861,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,ends,,,Murietta and Co,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",10,"805 pcs. timber, 59 pcs. ends, 735 logs mahogany and cedar, Murietta & Co."
47,5,Atalanta,Klaipeda,55.71722,21.12861,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,mahogany,,,Murietta and Co,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",10,"805 pcs. timber, 59 pcs. ends, 735 logs mahogany and cedar, Murietta & Co."
48,5,Atalanta,Klaipeda,55.71722,21.12861,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,cedar,,,Murietta and Co,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",10,"805 pcs. timber, 59 pcs. ends, 735 logs mahogany and cedar, Murietta & Co."
49,6,Martha,Sannesund,,,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,firewood,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",11,"130 fms, firewood, W. Hope. Lion @ Helga,"
50,6,Martha,Sannesund,,,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,mahogany,,,G. F. Neame and Co,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",11,"657 pcs. mahogany, G. F. Neame & Co."
51,7,Nachimoff,Odessa,46.4758177004446,30.7419165185547,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,wainscot logs,,,J. Leonino and Co,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",12,"347 wainscot logs, 17,120 oak staves, J. Leonino & Co."
52,7,Nachimoff,Odessa,46.4758177004446,30.7419165185547,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,oak staves,,,J. Leonino and Co,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",12,"347 wainscot logs, 17,120 oak staves, J. Leonino & Co."
53,8,Cosmopolitan,Hamburg,53.5381947874472,9.96457836097262,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,uthoff,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",13,"370 pcs. timber, Uthoff & Co. Columbia @ Jamaica,"
54,8,Cosmopolitan,Hamburg,53.5381947874472,9.96457836097262,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,t logwood,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",13,"81 t. logwood, J. Thomson & Co. Daisy (s) @ Riga,"
55,8,Cosmopolitan,Hamburg,53.5381947874472,9.96457836097262,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,lathwood,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",13,"3,850 pcs. lathwood, Order."
56,9,Albion,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,staves,,,G. E. Arnold and Co,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",14,"182,874 staves, Duus, Brown, & Co. 4,886 boards, 254 battens, 194 deals, G. E. Arnold & Co."
57,9,Albion,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,boards,,,G. E. Arnold and Co,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",14,"182,874 staves, Duus, Brown, & Co. 4,886 boards, 254 battens, 194 deals, G. E. Arnold & Co."
58,9,Albion,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,battens,,,G. E. Arnold and Co,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",14,"182,874 staves, Duus, Brown, & Co. 4,886 boards, 254 battens, 194 deals, G. E. Arnold & Co."
59,9,Albion,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,deals,,,G. E. Arnold and Co,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",14,"182,874 staves, Duus, Brown, & Co. 4,886 boards, 254 battens, 194 deals, G. E. Arnold & Co."
60,9,Albion,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,cs wood pulp,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",14,"290 cs. wood pulp, 23,676 boards, Order. New World @ New York,"
61,9,Albion,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,boards,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",14,"290 cs. wood pulp, 23,676 boards, Order. New World @ New York,"
62,9,Albion,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,mahogany,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",14,"185 logs mahogany, Farnworth & Co. Jane Emily @ Falmouth Jamaica,"
63,9,Albion,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,t logwood,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",14,"81 t. logwood, 47 t. fustic, 2 t. lignum vitæ, 312 lancewood spars, 1 pc. mahogany, S. Dobree & Sons. Oscar @ Drontheim,"
64,9,Albion,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,t fustic,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",14,"81 t. logwood, 47 t. fustic, 2 t. lignum vitæ, 312 lancewood spars, 1 pc. mahogany, S. Dobree & Sons. Oscar @ Drontheim,"
65,9,Albion,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,t lignum vitæ,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",14,"81 t. logwood, 47 t. fustic, 2 t. lignum vitæ, 312 lancewood spars, 1 pc. mahogany, S. Dobree & Sons. Oscar @ Drontheim,"
66,9,Albion,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,lancewood spars,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",14,"81 t. logwood, 47 t. fustic, 2 t. lignum vitæ, 312 lancewood spars, 1 pc. mahogany, S. Dobree & Sons. Oscar @ Drontheim,"
67,9,Albion,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,pieces mahogany,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",14,"81 t. logwood, 47 t. fustic, 2 t. lignum vitæ, 312 lancewood spars, 1 pc. mahogany, S. Dobree & Sons. Oscar @ Drontheim,"
68,9,Albion,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,deals,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",14,"98 893 pcs. deals and battens, J. Neck & Son. Svea @ Honduras,"
69,9,Albion,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,battens,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",14,"98 893 pcs. deals and battens, J. Neck & Son. Svea @ Honduras,"
70,9,Albion,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,mahogany,,,"Young, Harrison","1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",14,"798 pcs. mahogany, 150 t. logwood, Young, Harrison."
71,9,Albion,Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,t logwood,,,"Young, Harrison","1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",14,"798 pcs. mahogany, 150 t. logwood, Young, Harrison."
72,10,New World,New York,40.713197770232,-74.0078266455077,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,mahogany,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",14,"185 logs mahogany, Farnworth & Co. Jane Emily @ Falmouth Jamaica,"
73,10,New World,New York,40.713197770232,-74.0078266455077,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,t logwood,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",14,"81 t. logwood, 47 t. fustic, 2 t. lignum vitæ, 312 lancewood spars, 1 pc. mahogany, S. Dobree & Sons. Oscar @ Drontheim,"
74,10,New World,New York,40.713197770232,-74.0078266455077,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,t fustic,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",14,"81 t. logwood, 47 t. fustic, 2 t. lignum vitæ, 312 lancewood spars, 1 pc. mahogany, S. Dobree & Sons. Oscar @ Drontheim,"
75,10,New World,New York,40.713197770232,-74.0078266455077,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,t lignum vitæ,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",14,"81 t. logwood, 47 t. fustic, 2 t. lignum vitæ, 312 lancewood spars, 1 pc. mahogany, S. Dobree & Sons. Oscar @ Drontheim,"
