year,commodity,cargo_rows
1875,fir sleepers,3
1875,joseph (s) @ gothenburg,2
1875,f de brodre @ krageroe,2
1875,pine deals,2
1875,oak planks,2
1875,deal,2
1875,t boxwood,2
1875,birchwood,2
1875,wm southern,2
1875,eclipse @ hamburg,2
1875,a hood,2
1875,borris,2
1875,j harle,2
1875,headings,2
1875,j black,2
1875,no scantlings,2
1875,planks teak,2
1875,masts,2
1875,½ moulding,2
1875,logs rosewood,2
1875,zebra wood,2
1875,½ deals,2
1875,t logs ends,2
1875,s dobree,2
1875,t lignum vitæ,2
1875,t ebony,2
1875,duus,2
1875,brown,2
1875,j gardner,2
1875,iron bark timber,2
1875,walnut planks,2
1875,skelton,2
1875,½ sleeper blocks,2
1875,syman,2
1875,c burwup eleanora @ sundswall,2
1875,c burwup marie julie @ memel,2
1875,oppenheimer,1
1875,noumea @ madras,1
1875,redwood,1
1875,two logs sapanwood,1
1875,wood pulp,1
1875,simson,1
1875,mason bayard @ fredrikstad,1
1875,no battens,1
1875,kulla @ fredrikstad,1
1875,cecilia @ fredrikstad,1
1875,(s) @ gothenburg,1
1875,t firewood,1
1875,snakewood,1
1875,teak timber,1
1875,r goodman minerva @ fredrikstad,1
1875,boysen,1
1875,bb boards,1
1875,t heisch,1
1875,dodd,1
1875,antelope (s) @ dantzic,1
1875,b h dahl,1
1875,triton @ porsgrund,1
1875,cs butt ends,1
1875,cs walnut,1
1875,briesman,1
1875,twende to @ skien,1
1875,scaramanga @ halsoen v,1
1875,carlotta (s) @ r c jobson cong oscar @,1
1875,flooring,1
1875,pine,1
1875,ash planks,1
1875,syria @ miramichi,1
1875,oak logs,1
1875,coltart,1
1875,bonnie @ dundee,1
1875,ritchie haflida @,1
1875,ross,1
1875,prairie bird @ st,1
1875,scantling,1
1875,ventilators,1
1875,white oak,1
1875,ronngren wendla @,1
1875,winter niord @,1
1875,voigt adolph wemer @,1
1875,hornstedt munin (s) @ gothenburg,1
1875,smith orlando (s) @ gothenburg,1
1875,brown gerhadina @ mesane,1
1875,wilson solide @ toreefors,1
1875,wilson oradd @ husum,1
1875,ronngren irwell (s) @ danzig,1
1875,haagensen hesperus (s) @ danzig,1
1875,good constantia @ quebec,1
1875,voigt annet @ riga,1
1875,hammond alma @ ljusne,1
1875,ronngren aura @ wyburg,1
1875,ericsson olof @ wifstawarf,1
1875,c neva (s) @ cronstadt,1
1875,ronngren j s @ haparanda,1
1875,dunkerley patria @ deals,1
1875,johnstorp @ sundswall,1
1875,good laurent @ cronstadt,1
1875,granberg else @ stettin,1
1875,wells kathraria (s) @ cronstadt,1
1875,wells (s) @ wyburg,1
1875,ericsson activ @ british @ ljusne,1
1875,granberg aimo @ stockholm,1
1875,winter atalanta @ sundswall,1
1875,winter franz @ stockholm,1
1875,winter aina @ bjorneborg,1
1875,bjufstrom agnes @ wyburg,1
1875,ronngren bernhard,1
1875,erbrezog fredrich franz iv @ wyburg,1
1875,winter w bateman @ hernosand,1
1875,winter g von bulow @ bollsta,1
1875,c lathwood,1
1875,bjufstrom algona @ riga,1
1875,bjufstrom tasmania @ bjorneborg,1
1875,ronngren pandora @ riga,1
1875,haagensen w w von eschen @ riga,1
1875,johnson speculator @ wyburg,1
1875,shields vera @ bjorneborg,1
1875,shields rollo (s) @ gothenburg,1
1875,wilson harriet wade @ fredrickshamn,1
1875,wade aina @ bjorneborg,1
1875,granberg hero (s) @ christiania,1
1875,haagensen berendina @ nederkalix,1
1875,wilson ilmarinen @ wyburg,1
1875,winter agnes @ soderhamn,1
1875,josephina @ riga,1
1875,bjufstrom amur @ riga,1
1875,winter scoresby @ stockholm,1
1875,winter efendi @ stockholm,1
1875,lennard johann daniel iv @ stockholm,1
1875,ronngren ocean @ memel,1
1875,ronngren hiram @ memel,1
1875,winter pogge @ uleaborg,1
1875,winter unionen @ kramfors,1
1875,winter carl shumacher @ riga,1
1875,ronngren prince albert @ riga,1
1875,ronngren major @ skonvik,1
1875,winter freundchaft @ kotka,1
1875,winter carl @ gefle,1
1875,ericsson emelie @ gefle,1
1875,granberg onnen toivo @ soderhamn,1
1875,granberg nidaros @ skonvik,1
1875,brownlow severnene @ soderhamn,1
1875,ronngren argus @ sandarne,1
1875,stourton finst @ swartvik,1
1875,granberg carl constantin @ memel,1
1875,fm lathwood,1
1875,winter k d @ timber,1
1875,granberg lina @ hernosand,1
1875,ericsson anna @ soderhamn,1
1875,wilson india @ geschwister @ uleaborg,1
1875,winter drei @ nyvik,1
1875,winter sif (s) @ gefle,1
1875,voigt fanny @ sundswall,1
1875,wilson virago (s) @ cronstadt,1
1875,angelo (s) @ christiania,1
1875,wilson orlando (s) @ gothenburg,1
1875,c pit props,1
1875,wilson osprey @ quebec,1
1875,briggs belle alliance @ sundswall,1
1875,cammell julius cæsar (s) @ stockholm,1
1875,granberg john @ bjorneborg,1
1875,hall abvilde @ nyvik,1
1875,curry,1
1875,olga @ nyvik,1
1875,capella @ gothenburg,1
1875,fir,1
1875,pits props,1
1875,jobson,1
1875,jens @ sundswall,1
1875,e j lund,1
1875,@ ramo,1
1875,f h weyergang @ sundswall,1
1875,standard staves,1
1875,j atkinson rapid @ wifsta warf,1
1875,jefferson,1
1875,trotter huldren @ helsingfors,1
1875,hardy annchen @ cronstadt,1
1875,borries,1
1875,postulant @ nedercalix,1
1875,half sleepers,1
1875,pyman,1
1875,commerce @ sundswall,1
1875,hardy dorar @ gothenburg,1
1875,hardy speculation @ sandefjord,1
1875,hall patriot @ gefle,1
1875,noird @ sundswall,1
1875,timber ends,1
1875,j p sword aristides @ daurie,1
1875,w southern,1
1875,alice louise @ hamburg,1
1875,hall john robinson @ nedercalix,1
1875,urdur @ oscarshamn,1
1875,pieces deals,1
1875,petronella @ falkenburg,1
1875,hall svende familier @ christiansand,1
1875,fir whitewood timber,1
1875,sunderland @ wifstawarf,1
1875,logs mahogany,1
1875,bls mahogany,1
1875,boat hooks,1
1875,pickers,1
1875,¼ firewood,1
1875,ed boards,1
1875,sticks,1
1875,paldawood,1
1875,crotches mahogany,1
1875,fantails mahogany,1
1875,m staves,1
1875,maple,1
1875,loth,1
1875,venter cutting,1
1875,wagoola @ hobart town,1
1875,wilhelm i @ memel,1
1875,rollers maplewood,1
1875,t gabriel,1
1875,martaban (s) @ rangoon,1
1875,balks,1
1875,nicolaus heinrich @ danzig,1
1875,satinwood,1
1875,cedarwood,1
1875,holland (s) @ rotterdam,1
1875,planks wainscot,1
1875,j forsyth france (s) @ new york,1
1875,r de clermont,1
1875,soratic @ jamaica,1
1875,atalanta (s) @ stockholm,1
1875,cs wood matches,1
1875,wood goods,1
1875,cs matches,1
1875,alpha @ drammen,1
1875,lister @ christiania,1
1875,¾ firewood,1
1875,gabriel,1
1875,virgo (s) @ hambro,1
1875,arcturus @ danzig,1
1875,sophia @ drammen,1
1875,j neck,1
1875,carl @ windau,1
1875,¼ sleepers,1
1875,fir staves,1
1875,flooring boards,1
1875,john telegrafen @ oscarshamn,1
1875,j knights curlew (s) @ hambro,1
1875,winckel sherburn (s) @ bordeaux,1
1875,pinewood,1
1875,onty pit props for sunderland st lawrence @ quebec,1
1875,redwood sleepers,1
1875,spruce slabs,1
1875,pickford,1
1875,hettie (s) @ cronstadt,1
1875,kidman,1
1875,kinloch albion (s) @ christiania,1
1875,g thompson,1
1875,jun,1
1875,golconda @ genoa,1
1875,schofield minion @ minatitlan,1
1875,hewn furniture wood,1
1875,t p jordensen,1
1875,queen ceylon @ new york,1
1875,gross hd staves,1
1875,hewn,1
1875,sawn timber,1
1875,levy,1
1875,smith,1
1875,hutton clapton (s) @ gothenburg,1
1875,pipe staves,1
1875,boyson,1
1875,minnet @ gothenburg,1
1875,j d dahll,1
1875,charlotte @ pensacola,1
1875,logs ends,1
1875,curl mahogany,1
1875,t fustic,1
1875,schofield viola @ sannesund,1
1875,burt,1
1875,boulton,1
1875,magna @ fredrikstad,1
1875,p wyndham,1
1875,hartlepool (s) @ windau,1
1875,isabella @ riga,1
1875,fir ends,1
1875,slabs,1
1875,sycamore,1
1875,hornbeam,1
1875,lind,1
1875,chestnut,1
1875,pear tree,1
1875,logs ebony,1
1875,sapanwood,1
1875,trenails,1
1875,o rohde,1
1875,logs furniture wood,1
1875,spikewood,1
1875,hall prospect @ gefle,1
1875,a qnty staves,1
1875,jens mondbergs minde @ laurvig,1
1875,a qnty bgd sleepers,1
1875,wood knees,1
1875,hall christian @ drontheim,1
1875,crown trees,1
1875,hall sophie frederik @ memel,1
1875,sylphiden @ gothenburg,1
1875,hardy schroder @ memel,1
1875,geisini schroder @ calmar,1
1875,peacock cathrine @ laurvig,1
1875,johanna @ sundswall,1
1875,active @ christiansand,1
1875,cornucopia @ gothenburg,1
1875,olga @ christianople,1
1875,t c hardy,1
1875,jenne fernand @ drammen,1
1875,antor @ christiansand,1
1875,hardy dolly @ danzig,1
1875,whitewood timber,1
1875,fir treenails,1
1875,bosphorus @ quebec,1
1875,red pine,1
1875,hickory,1
1875,red pine deals,1
1875,pine deal ends,1
1875,j p sword marie julie @ memel,1
1875,into clyde during last few days have been on a pretty extensive scale as will be seen from list,1
1875,these cargoes comprise all various assortments wood,1
1875,hard,1
1875,soft,1
1875,suitable for every description work no doubt much has been shipped a view to requirements shipbuilders,1
1875,who form a very large part our consumptive power here,1
1875,although as mentioned in my last letter they have comparatively few vessels in progress at present,1
1875,it is hoped as building material is much reduced in price,1
1875,fresh openings in commerce looked for,1
1875,that they may very soon resume their wonted activity meantime it must be owned sales american wood are very difficult to effect at a public sale a large cargo miramichi spruce,1
1875,pine deals held here on 7th inst,1
1875,at yorkhill timber wharf,1
1875,there was a good attendance,1
1875,but little spirited competition,1
1875,under,1
1875,whitworth,1
1875,hucmatas battens,1
1875,tamarac knees,1
1875,redwood deals,1
1875,(s) @ bahia,1
1875,billets ebony,1
1875,teak planks,1
1875,mahogay,1
1875,nilla,1
1875,stadt,1
1875,ericsson,1
1875,blocks,1
1875,wool pulp,1
1875,square timber,1
1875,southern,1
1875,crown battens,1
1875,trees,1
1879,deals,677
1879,firewood,143
1879,lathwood,121
1879,battens,118
1879,sleepers,104
1879,staves,99
1879,boards,57
1879,ends,47
1879,timber,40
1879,mahogany,29
1879,dls,18
1879,laths,14
1879,tim,13
1879,planks,8
1879,oak,6
1879,firewd,6
1879,brds,5
1879,spars,5
1879,floorings,5
1879,handspikes,4
1879,quebec-deals,4
1879,flooring,4
1879,mouldings,4
1879,btns,3
1879,birch,3
1879,bds,3
1879,lthwd,3
1879,mahog,3
1879,poles,2
1879,mauerlatten,2
1879,palings,2
1879,pieces,2
1879,balks,2
1879,firewood duus,2
1879,rickers,2
1879,wainscot,2
1879,teak,2
1879,walnut,2
1879,doors,2
1879,rosewood,2
1879,various prins oscar (s),1
1879,c severus,1
1879,logs,1
1879,beechwood,1
1879,various carl xv (s),1
1879,ash,1
1879,hardwoods,1
1879,lathwd,1
1879,danzig-timber,1
1879,deals soto,1
1879,boards howard battens,1
1879,sundswall-battens,1
1879,masts,1
1879,alderwood,1
1879,timber-deals,1
1879,deals price avena (s),1
1879,zulu (s),1
1879,oak logs anna,1
1879,lathwood reynolds bwllfa (s),1
1879,beech,1
1879,flrngs,1
1879,wood goods,1
1879,alder,1
1879,deals } churchill,1
1879,sim nordmaling,1
1879,greenheart timber,1
1879,mldings,1
1879,c.-firewood,1
1879,joinery,1
1879,l skolfield,1
1879,firwood,1
1879,william,1
1879,jane,1
1879,r h dahl winston (s),1
1879,lthwood,1
1879,deals g e arnold boards,1
1879,konigsberg-sleepers,1
1879,fir planks,1
1879,deals new gellivara adept,1
1879,dls churchill avon,1
1879,batteus,1
1879,slprs,1
1879,mouldings o eklund reform,1
1879,wainscot logs,1
1879,plank ends,1
1879,danzig-sleepers,1
1879,soroka-deals,1
1879,deal ends,1
1879,telegraph poles,1
1879,boards farquharson deals,1
1879,sleepers burt,1
1879,m louise,1
1879,lulea-deals,1
1879,c g f neame giro,1
1879,wood pulp,1
1879,deals new gellivara uno,1
1879,c strela (s),1
1879,mah,1
1879,ls mah,1
1879,behrend,1
1879,boards duus,1
1879,mathilde,1
1879,cronstadt-deals,1
1879,rosewood p leite jeranos (s),1
1879,flooring laths,1
1879,lumber,1
1879,memel-pcs fir,1
1879,boards wootton ingeborg (s),1
1879,wd boards,1
1879,waney logs,1
1879,bahia-rosewood,1
1880,sleepers,7
1880,doors,7
1880,mouldings,6
1880,deals,6
1880,ends,6
1880,staves,5
1880,½ sleepers,4
1880,boards,4
1880,mahogany,3
1880,cedar,3
1880,wood,3
1880,logs,2
1880,t logwood,2
1880,maple,2
1880,lathwood,2
1880,timber,2
1880,redwood,2
1880,wood pulp,2
1880,¾ sleepers,1
1880,logs walnut,1
1880,scantlings,1
1880,pieces,1
1880,satin wood,1
1880,sapan wood,1
1880,blocks,1
1880,planking,1
1880,flooring,1
1880,sills,1
1880,¼ t logwood,1
1880,t lig vitæ,1
1880,memel,1
1880,r fowler,1
1880,cr mahogany,1
1880,tulip,1
1880,oars,1
1880,sks wood pulp,1
1880,laths,1
1880,joinery,1
1880,packages,1
1880,logwood,1
1880,teak,1
1880,sapanwood,1
1880,walnut,1
1880,syca,1
1880,hickory,1
1880,logs whtwd,1
1880,boards walnut,1
1880,oak,1
1880,letterwood,1
1880,trinidad mahog,1
1880,engelhardt,1
1880,scantling,1
1880,palings,1
1880,bndls,1
1880,sapnwd,1
1880,¾ firewood,1
1880,cwts veneers,1
1880,lgs rosewood,1
1880,handspikes,1
1880,mldgs,1
1880,spars,1
1880,t lgwd,1
1880,lths,1
1881,deals,461
1881,battens,297
1881,staves,231
1881,firewood,209
1881,boards,170
1881,lathwood,138
1881,timber,114
1881,ends,83
1881,sleepers,69
1881,deal ends,67
1881,doors,57
1881,wood,51
1881,mahogany,44
1881,rickers,40
1881,laths,38
1881,pit-props,35
1881,scantlings,30
1881,half-sleepers,29
1881,spars,26
1881,mouldings,25
1881,walnut,25
1881,cedar,23
1881,planks,22
1881,oak staves,21
1881,palings,21
1881,oak,18
1881,lumber,15
1881,oars,15
1881,planed boards,15
1881,wainscot logs,13
1881,pieces,13
1881,bls laths,13
1881,ebony,12
1881,logs,12
1881,floorings,11
1881,lancewood spars,11
1881,fir,11
1881,rosewood,10
1881,bls mouldings,10
1881,headings,10
1881,walnut logs,10
1881,t logwood,10
1881,hoops,9
1881,satinwood,8
1881,poles,8
1881,bundles,7
1881,bls staves,7
1881,planks walnut,7
1881,simson,7
1881,batten ends,7
1881,sleeper blocks,7
1881,board ends,7
1881,walnut planks,6
1881,ends mahogany,6
1881,teak,6
1881,oak planks,6
1881,pine,6
1881,churchill,6
1881,sim,6
1881,pitwood,6
1881,half,6
1881,props,6
1881,fir sawn,6
1881,fir hewn,6
1881,flooring,6
1881,square timber,5
1881,whitewood,5
1881,coils hoops,5
1881,joinery,5
1881,fantails,5
1881,mason,5
1881,½ firewood,5
1881,balusters,5
1881,birch,5
1881,sept,5
1881,fustic,4
1881,fantails mahogany,4
1881,treenails,4
1881,olivewood,4
1881,maple,4
1881,boxwood,4
1881,cars lumber,4
1881,lath-wood,4
1881,masts,4
1881,t redwood,4
1881,floor boards,4
1881,black walnut,3
1881,brazil wood,3
1881,bls lumber,3
1881,handspikes,3
1881,split fir,3
1881,blocks teak,3
1881,t ebony,3
1881,furniture hardwood,3
1881,no staves,3
1881,sapanwood,3
1881,myallwood,3
1881,bls,3
1881,flooring boards,3
1881,firwood,3
1881,crotches mahogany,3
1881,firwood sawn,3
1881,fir sleepers,3
1881,fir spars,3
1881,scantling,3
1881,walnut boards,3
1881,hewn fir,3
1881,fir pit-props,3
1881,fm firewood,3
1881,bds laths,3
1881,ash,3
1881,g e arnold,2
1881,no doors,2
1881,madsen,2
1881,bls wood,2
1881,t lignum-vitæ,2
1881,planks oak,2
1881,penton,2
1881,packages,2
1881,oak flitches,2
1881,gunstocks,2
1881,teak planks,2
1881,veneers,2
1881,quantity staves,2
1881,bls hoops,2
1881,pairs oars,2
1881,hhd staves,2
1881,duus brown,2
1881,bls headings,2
1881,t rosewood,2
1881,pitch pine,2
1881,pine deals,2
1881,pit,2
1881,mining timber,2
1881,oak logs,2
1881,telegraph poles,2
1881,balks,2
1881,poplar logs,2
1881,crossings,2
1881,square mining timber,2
1881,sawn wood,2
1881,sawn fir,2
1881,mauerlatten,2
1881,wood pulp,2
1881,quantity firewood,2
1881,oak timber,2
1881,half-square sleepers,2
1881,hewn elm,2
1881,yellow pine,2
1881,cabinet wood,2
1881,redwood,2
1881,aug,2
1881,cs spokes,2
1881,billets oak wainscot,2
1881,blocks,2
1881,fntls mahogany,2
1881,elm,2
1881,lignum-vitæ,1
1881,½ lathwood,1
1881,cs bls mouldings,1
1881,bls sticks,1
1881,h tate,1
1881,zebra wood,1
1881,granadillo,1
1881,w w howard,1
1881,w w hoare,1
1881,f edling,1
1881,gardner,1
1881,oak butt ends,1
1881,moulding,1
1881,bls wood pulp,1
1881,mahog,1
1881,cs matches-bryant,1
1881,may,1
1881,collies [?] doors-lawson,1
1881,sawn oak timber,1
1881,g m staves,1
1881,cherry,1
1881,carved wood,1
1881,cedarwood,1
1881,planks timber,1
1881,½ t lignum-vitae,1
1881,beech,1
1881,birch staves,1
1881,p wilkie,1
1881,t furniture hardwood,1
1881,cs boards,1
1881,a quantity wood,1
1881,t walnut planks,1
1881,sawn timber,1
1881,satinwood planks,1
1881,sticks wood,1
1881,cooowlawood,1
1881,j sandell,1
1881,olive wood,1
1881,garrard,1
1881,planks hardwood,1
1881,cwt veneer,1
1881,shooks lumber,1
1881,oak boards,1
1881,betjemann,1
1881,blocks ashwood,1
1881,logs timber,1
1881,yellowwood,1
1881,crotchets,1
1881,sabicu,1
1881,dyewood,1
1881,wood splints,1
1881,cs wood boards,1
1881,broom sticks,1
1881,maplewood,1
1881,no bls doors,1
1881,o eklund,1
1881,bls woodwork,1
1881,cs splints,1
1881,cs headings,1
1881,firewd,1
1881,from trieste,1
1881,letterwood,1
1881,dram,1
1881,fir timber,1
1881,battens firewood,1
1881,violet wood,1
1881,fantail cedar,1
1881,trelliswork,1
1881,bls scantling,1
1881,planks wood,1
1881,blocks wood,1
1881,myall lumber,1
1881,quantity battens,1
1881,bls balusters,1
1881,hickory,1
1881,billets wainscot oak,1
1881,oak butts,1
1881,half sleepers,1
1881,bls doors,1
1881,bls sashes,1
1881,bls barrel heads,1
1881,bls box shooks,1
1881,b hall,1
1881,cs lumber,1
1881,master,1
1881,srns bark,1
1881,c j meier,1
1881,bls bark,1
1881,curling,1
1881,bark,1
1881,richter,1
1881,birchwood props,1
1881,loads firwood,1
1881,wood hoops,1
1881,fir staves,1
1881,timber split jeffrey louise ernest,1
1881,pieces oak,1
1881,mauer-latten,1
1881,¾ firewood,1
1881,shocks staves,1
1881,t wood,1
1881,ash oars,1
1881,wainscots,1
1881,zimmernaben,1
1881,redwood blocks,1
1881,flitches,1
1881,deck deals,1
1881,sawn,1
1881,hewn timber,1
1881,round,1
1881,round mining,1
1881,round mining timber,1
1881,beechwood,1
1881,lignum-vita-chalmers,1
1881,from porto plata,1
1881,trellis,1
1881,bls heading,1
1881,willow wood,1
1881,lignum,1
1881,myall-wood,1
1881,dogwood,1
1881,firwood planed,1
1881,qty willow gun-powder factory,1
1881,oak blocks,1
1881,spars for firewood,1
1881,fir boards,1
1881,slating battens,1
1881,oak hewn,1
1881,half-square,1
1881,elm hewn,1
1881,willow,1
1881,i doors,1
1881,pickets,1
1881,end,1
1881,mauerlatten timber,1
1881,pieces bundles,1
1881,poplar boards,1
1881,poplar,1
1881,walnut squares,1
1881,planed deals,1
1881,fir sleeper blocks,1
1881,sleeper blocks fir,1
1881,firewood deals,1
1881,round timber,1
1881,a quantity firewood,1
1881,palm,1
1881,hewn birch,1
1881,hewn oak,1
1881,hewn ash,1
1881,red hewn pine birch,1
1881,oak pine staves,1
1881,sawn fir deals,1
1881,white oak staves,1
1881,elderwood,1
1881,c broom handles,1
1881,brazilwood,1
1881,shutters,1
1881,poplar lumber,1
1881,quantity boards,1
1881,t birch,1
1881,willowwood,1
1881,t lignum vitæ,1
1881,planks beech,1
1881,bottoms,1
1881,splitwood,1
1881,cubic firewood,1
1881,1/2 t lignum-vitæ,1
1881,1/2 t logwood,1
1881,satin-wood,1
1881,square blocks,1
1881,teak squares,1
1881,deal,1
1881,batten,1
1881,w.o planks,1
1881,square ash,1
1881,t anderson,1
1881,nicks,1
1881,pieces redwood,1
1881,w sparkam,1
1881,wood-rensch,1
1881,h[?],1
1881,laths-braithwaite,1
1881,hewetson,1
1881,round mining timber battens,1
1881,props battens,1
1881,birch poles,1
1881,staves cr wood,1
1881,c lumber,1
1881,redwood deals,1
1881,oak plank,1
1881,pipe staves,1
1881,cs deal boards,1
1881,butternut,1
1881,butterwood,1
1881,pine boards,1
1881,spruce deals,1
1881,spruce deal ends,1
1881,planks teak,1
1881,wain-scot logs,1
1881,bds moulding,1
1881,oak posts,1
1881,t green ebony,1
1881,1/2 t mahogany,1
1881,crotches,1
1881,cargo lathwood washed overboard greece (s),1
1881,pkts laths,1
1881,loads cask bottoms,1
1881,walnut lumber,1
1881,box shooks,1
1881,half-blocks,1
1881,spoolwood,1
1881,pine logs,1
1881,lignum vitæ,1
1881,ends cedar,1
1881,saw sleepers,1
1881,lignum-vitae,1
1881,half-pcs sleepers,1
1881,half-bdls,1
1881,cs doors,1
1881,lattens,1
1881,crown trees,1
1881,bordeaux pitwood,1
1881,vanne pitwood,1
1881,curl mahogany,1
1881,½ deals,1
1881,j f neck,1
1881,billets oak,1
1881,t w hopton,1
1881,crutches mahogany,1
1881,planed battens,1
1881,c f kausmann,1
1881,harbitz,1
1881,w h howard,1
1881,sash sills,1
1881,planking,1
1881,skirtings,1
1881,w r crow,1
1881,wotton,1
1881,prier,1
1881,planks satinwood,1
1882,deals,8
1882,staves,7
1882,doors,5
1882,mouldings,3
1882,timber,2
1882,sleepers,2
1882,ebony,2
1882,pine boards,2
1882,boards,2
1882,pieces,1
1882,handles,1
1882,oak wood,1
1882,lumber,1
1882,oak planks,1
1882,fir timber,1
1882,oars,1
1882,battens,1
1882,planks beech,1
1883,deals,617
1883,battens,290
1883,staves,264
1883,firewood,235
1883,boards,204
1883,timber,126
1883,deal ends,118
1883,lathwood,116
1883,ends,106
1883,sleepers,82
1883,doors,61
1883,walnut,61
1883,mahogany,58
1883,mouldings,52
1883,laths,48
1883,planks,41
1883,logs,37
1883,palings,34
1883,oak staves,34
1883,half-sleepers,34
1883,cedar,32
1883,oars,31
1883,rickers,30
1883,props,28
1883,wood,25
1883,scantlings,25
1883,oak,24
1883,hewn fir,21
1883,hoops,21
1883,lumber,20
1883,lancewood spars,18
1883,pitwood,18
1883,spars,17
1883,pieces,17
1883,floorings,16
1883,ebony,15
1883,ash,15
1883,bundles,14
1883,headings,14
1883,whitewood,13
1883,poles,11
1883,batten ends,11
1883,sleeper blocks,11
1883,pit-props,11
1883,planed boards,10
1883,flooring,10
1883,telegraph poles,10
1883,fir,10
1883,sawn fir,10
1883,pine,10
1883,shooks,9
1883,walnut logs,9
1883,teak planks,8
1883,teak,8
1883,planks walnut,8
1883,maple,8
1883,redwood,8
1883,wainscot logs,8
1883,half,8
1883,board ends,8
1883,elm,8
1883,birch,8
1883,walnut lumber,7
1883,flooring boards,7
1883,poplar,7
1883,hardwood,7
1883,hickory,7
1883,mauerlatten,7
1883,blocks teak,6
1883,boxwood,6
1883,oak planks,6
1883,oak wainscot logs,6
1883,rosewood,6
1883,ends mahogany,6
1883,walnut squares,5
1883,joinery,5
1883,scantling,5
1883,planks teak,5
1883,oak logs,5
