source_file,line_number,ship_name,origin_port,destination_port,cargo,merchant,arrival_day,arrival_month,arrival_year,publication_day,publication_month,publication_year,is_steamship,raw_segment,extraction_method,needs_review,original_extracted_ship,similarity_score,duplicate_reason
"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p002.txt",30,Johann Carl,Memi,BRISTOL,—8,188 pcs,,,1874,22,8,1874,False,"Johann Carl @ Memi,—8,188 pcs. deals and boards, Order.",MULTI_SPLIT,True,Johann Carl,1.0000,Similar to original_extracted_ship
"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p002.txt",53,Imperial,Quebec,GREENOCK,—50 pcs,,,,1875,24,7,1875,False,"Imperial @ Quebec,—50 pcs. elm, 142 pcs. red oak, 563 pcs. square white pine, 79 pcs. waney board pine, 498 pine deals, 8,878 spruce deals, 4,345 pipe staves, 4,600 pcs. W.O.W.I. staves, Singleton, Dunn, & Co.",MULTI_SPLIT,True,Imperial,1.0000,Similar to original_extracted_ship
"10. 152-155 - September 4 1875 - Imports Timber, &c. - Timber Trades Journal Vol. 3 1875_p001.txt",83,Orselius,Sundswall,BRISTOL,—9,296 pcs,,,1874,17,10,1874,False,"Orselius @ Sundswall,—9,296 pcs. deals, battens, and boards, Order.",MULTI_SPLIT,True,Orselius,1.0000,Similar to original_extracted_ship
"10. 152-155 - September 4 1875 - Imports Timber, &c. - Timber Trades Journal Vol. 3 1875_p001.txt",83,Orselius,Sundswall,BRISTOL,—9,296 pcs,,,1874,17,10,1874,False,"Orselius @ Sundswall,—9,296 pcs. deals, battens, and boards, Order.",MULTI_SPLIT,True,Orselius,1.0000,Similar to original_extracted_ship
"10. 152-155 - September 4 1875 - Imports Timber, &c. - Timber Trades Journal Vol. 3 1875_p003.txt",3,Rolla,Gothenburg,NEW YORK,—970 pcs,,,,1874,22,8,1874,True,"Rolla (s) @ Gothenburg,—970 pcs. deals, 783 pcs. deal ends, 1,572 pcs. pipe staves, Order.",MULTI_SPLIT,True,Rolla,1.0000,Similar to original_extracted_ship
"10. 152-155 - September 4 1875 - Imports Timber, &c. - Timber Trades Journal Vol. 3 1875_p003.txt",3,Rolla,Gothenburg,NEW YORK,—970 pcs,,,,1874,22,8,1874,True,"Rolla (s) @ Gothenburg,—970 pcs. deals, 783 pcs. deal ends, 1,572 pcs. pipe staves, Order.",MULTI_SPLIT,True,Rolla,1.0000,Similar to original_extracted_ship
"10. 152-155 - September 4 1875 - Imports Timber, &c. - Timber Trades Journal Vol. 3 1875_p003.txt",3,Rolla,Gothenburg,NEW YORK,—970 pcs,,,,1874,22,8,1874,True,"Rolla (s) @ Gothenburg,—970 pcs. deals, 783 pcs. deal ends, 1,572 pcs. pipe staves, Order.",MULTI_SPLIT,True,Rolla,1.0000,Similar to original_extracted_ship
"10. 152-155 - September 4 1875 - Imports Timber, &c. - Timber Trades Journal Vol. 3 1875_p003.txt",3,Rolla,Gothenburg,NEW YORK,—970 pcs,,,,1874,22,8,1874,True,"Rolla (s) @ Gothenburg,—970 pcs. deals, 783 pcs. deal ends, 1,572 pcs. pipe staves, Order.",MULTI_SPLIT,True,Rolla,1.0000,Similar to original_extracted_ship
"10. 152-155 - September 4 1875 - Imports Timber, &c. - Timber Trades Journal Vol. 3 1875_p003.txt",7,Express,Uleaborg,BRISTOL,"—20,549 deals and boards",Order,,,1875,21,8,1875,False,"Express @ Uleaborg,—20,549 deals and boards, Order.",MULTI_SPLIT,True,Express,1.0000,Similar to original_extracted_ship
"10. 152-155 - September 4 1875 - Imports Timber, &c. - Timber Trades Journal Vol. 3 1875_p003.txt",10,London Packet,Fredrikshamn,BRISTOL,—16,711 pcs,,,1875,21,8,1875,False,"London Packet @ Fredrikshamn,—16,711 pcs. deals battens, R. Wade, Sons, & Co.",MULTI_SPLIT,True,London Packet,1.0000,Similar to original_extracted_ship
"10. 152-155 - September 4 1875 - Imports Timber, &c. - Timber Trades Journal Vol. 3 1875_p003.txt",16,Alida,Gefle,DUNDEE,"—29,549 deals",Bennetts & Co,,,1877,18,8,1877,False,"Alida @ Gefle,—29,549 deals, Bennetts & Co.",MULTI_SPLIT,True,Alida,1.0000,Similar to original_extracted_ship
"10. 152-155 - September 4 1875 - Imports Timber, &c. - Timber Trades Journal Vol. 3 1875_p003.txt",18,Mario,Pensacola,DUNDEE,—999 pcs,,,,1877,14,4,1877,False,"Mario @ Pensacola,—999 pcs. pitch pine timber, 199 pcs. pitch pine deals, Clayton & Armstrong.",MULTI_SPLIT,True,Mario,1.0000,Similar to original_extracted_ship
"10. 152-155 - September 4 1875 - Imports Timber, &c. - Timber Trades Journal Vol. 3 1875_p003.txt",21,Rota,Cronstadt,BO'NESS,"—5,150 deals, Mitchell, Thomson",& Co,,,1877,4,8,1877,False,"Rota @ Cronstadt,—5,150 deals, Mitchell, Thomson, & Co.",MULTI_SPLIT,True,Rota,1.0000,Similar to original_extracted_ship
"10. 152-155 - September 4 1875 - Imports Timber, &c. - Timber Trades Journal Vol. 3 1875_p003.txt",28,Oder,Christiania,SOUND LIST,— c,,,,1874,25,7,1874,True,"Oder (s) @ Christiania,— c. battens, &c., Wilson.",MULTI_SPLIT,True,Oder,1.0000,Similar to original_extracted_ship
"10. 152-155 - September 4 1875 - Imports Timber, &c. - Timber Trades Journal Vol. 3 1875_p003.txt",29,Leopoldine Frande,Cronstadt,BRISTOL,—6,512 pcs,,,1874,22,8,1874,False,"Leopoldine Frande @ Cronstadt,—6,512 pcs. deals, battens, and ends, Order.",MULTI_SPLIT,True,Leopoldine Frande,1.0000,Similar to original_extracted_ship
"10. 152-155 - September 4 1875 - Imports Timber, &c. - Timber Trades Journal Vol. 3 1875_p004.txt",8,Vespasian,Taganrog,BO'NESS,—36,698 pcs,,,1875,21,8,1875,True,"Vespasian (s) @ Taganrog,—36,698 pcs. boxwood, Gardner & Sons.",MULTI_SPLIT,True,Vespasian,1.0000,Similar to original_extracted_ship
"10. 153-157 - September 1 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p002.txt",29,Leopoldine Frande,Cronstadt,BRISTOL,—6,512 pcs,,,1874,22,8,1874,False,"Leopoldine Frande @ Cronstadt,—6,512 pcs. deals, battens, and ends, Order.",MULTI_SPLIT,True,Leopoldine Frande,1.0000,Similar to original_extracted_ship
"10. 153-157 - September 1 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p002.txt",29,Leopoldine Frande,Cronstadt,BRISTOL,—6,512 pcs,,,1874,22,8,1874,False,"Leopoldine Frande @ Cronstadt,—6,512 pcs. deals, battens, and ends, Order.",MULTI_SPLIT,True,Leopoldine Frande,1.0000,Similar to original_extracted_ship
"10. 153-157 - September 1 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p002.txt",29,Leopoldine Frande,Cronstadt,BRISTOL,—6,512 pcs,,,1874,22,8,1874,False,"Leopoldine Frande @ Cronstadt,—6,512 pcs. deals, battens, and ends, Order.",MULTI_SPLIT,True,Leopoldine Frande,1.0000,Similar to original_extracted_ship
"10. 153-157 - September 1 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p002.txt",29,Leopoldine Frande,Cronstadt,BRISTOL,—6,512 pcs,,,1874,22,8,1874,False,"Leopoldine Frande @ Cronstadt,—6,512 pcs. deals, battens, and ends, Order.",MULTI_SPLIT,True,Leopoldine Frande,1.0000,Similar to original_extracted_ship
"10. 153-157 - September 1 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p002.txt",203,Waldemar,Soderhamn,SOUND LIST,—19,923 pcs,,,1877,1,9,1877,False,"Waldemar @ Soderhamn,—19,923 pcs. deals and boards, Harrison & Singleton.",MULTI_SPLIT,True,Waldemar,1.0000,Similar to original_extracted_ship
"10. 153-157 - September 1 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p003.txt",2,Janet Duncan,Riga,DUNDEE,"—5,689 deals and ends",Macpherson & McLaren,,,1877,4,8,1877,False,"Janet Duncan @ Riga,—5,689 deals and ends, Macpherson & McLaren.",MULTI_SPLIT,True,Janet Duncan,1.0000,Similar to original_extracted_ship
"10. 153-157 - September 1 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p003.txt",4,Akkara,Miramichi,LONDON,—13,296 pcs,,,1874,8,8,1874,False,"Akkara @ Miramichi,—13,296 pcs. deals, Order.",MULTI_SPLIT,True,Akkara,1.0000,Similar to original_extracted_ship
"10. 153-157 - September 1 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p003.txt",18,Mario,Pensacola,DUNDEE,—999 pcs,,,,1877,14,4,1877,False,"Mario @ Pensacola,—999 pcs. pitch pine timber, 199 pcs. pitch pine deals, Clayton & Armstrong.",MULTI_SPLIT,True,Mario,1.0000,Similar to original_extracted_ship
"10. 153-157 - September 1 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p003.txt",22,Lokken,Abo,BO'NESS,—12 fms,,,,1875,21,8,1875,False,"Lokken @ Abo,—12 fms. firewood, Simony.",MULTI_SPLIT,True,Lokken,1.0000,Similar to original_extracted_ship
"10. 153-157 - September 1 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p003.txt",25,Charlotte Gladstone,Quebec,GREENOCK,—206 pcs,,,,1877,4,8,1877,False,"Charlotte Gladstone @ Quebec,—206 pcs. oak, 12 pcs. ash, 35 pcs. balm, 2 pcs. whitewood, 1 pc. buttonwood, 3 pcs. tamarac, 24 pcs. red pine, 1,093 pcs. white pine, 4,800 pipe staves, 1,437 pine deals, 100 deal ends, 4,340 W. I. staves, Edmiston & Mitchells.",MULTI_SPLIT,True,Charlotte Gladstone,1.0000,Similar to original_extracted_ship
"10. 153-157 - September 1 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p003.txt",27,Erato,Cronstadt,SOUND LIST,—2,214 pcs,,,1874,25,7,1874,True,"Erato (s) @ Cronstadt,—2,214 pcs. lathwood, 2,482 rickers, Wilson.",MULTI_SPLIT,True,Erato,1.0000,Similar to original_extracted_ship
"10. p. 146-149 - September 5 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p003.txt",10,London Packet,Fredrikshamn,BRISTOL,—16,711 pcs,,,1875,21,8,1875,False,"London Packet @ Fredrikshamn,—16,711 pcs. deals battens, R. Wade, Sons, & Co.",MULTI_SPLIT,True,London Packet,1.0000,Similar to original_extracted_ship
"10. p. 146-149 - September 5 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p003.txt",11,Orlande,Gothenburg,BO'NESS,"—10,929 pit props",82 c,,,1875,21,8,1875,True,"Orlande (s) @ Gothenburg,—10,929 pit props, 82 c. deals, &c., Wilson.",MULTI_SPLIT,True,Orlande,1.0000,Similar to original_extracted_ship
"10. p. 146-149 - September 5 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p003.txt",12,Epaminondas,Quebec,GREENOCK,—672 pcs,,,,1874,22,8,1874,False,"Epaminondas @ Quebec,—672 pcs. square white pine, George Gillespie & Co.",MULTI_SPLIT,True,Epaminondas,1.0000,Similar to original_extracted_ship
"10. p. 146-149 - September 5 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p003.txt",24,Twende Brodre,Dram,DUNDEE,"—4,868 battens",J,,,1877,18,8,1877,False,"Twende Brodre @ Dram,—4,868 battens, J. S. Dunn & Co.",MULTI_SPLIT,True,Twende Brodre,1.0000,Similar to original_extracted_ship
"10. p. 146-149 - September 5 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p003.txt",33,Helene,Saguenay,GREENOCK,"—12,457 deals, 1,886 deal ends, 4,380 palings",Order,,,1875,24,7,1875,False,"Helene @ Saguenay,—12,457 deals, 1,886 deal ends, 4,380 palings, Order.",MULTI_SPLIT,True,Helene,1.0000,Similar to original_extracted_ship
"10. p. 146-149 - September 5 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p003.txt",34,Superb,Quebec,DUNDEE,—14 pcs,,,,1874,22,8,1874,False,"Superb @ Quebec,—14 pcs. oak, 38 pcs. elm, 78 pcs. birch, 6 pcs. ash, 301 pcs. pine, 1,520 pcs. deals, James Donaldson.",MULTI_SPLIT,True,Superb,1.0000,Similar to original_extracted_ship
"10. p. 146-149 - September 5 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p004.txt",12,Epaminondas,Quebec,GREENOCK,—672 pcs,,,,1874,22,8,1874,False,"Epaminondas @ Quebec,—672 pcs. square white pine, George Gillespie & Co.",MULTI_SPLIT,True,Epaminondas,1.0000,Similar to original_extracted_ship
"10. p. 146-149 - September 5 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p004.txt",51,Garrison,Riga,LONDON,"—7,965 square sleepers, 953 ½ sleepers",Order,,,1875,26,6,1875,True,"Garrison (s) @ Riga,—7,965 square sleepers, 953 ½ sleepers, Order.",MULTI_SPLIT,True,Garrison,1.0000,Similar to original_extracted_ship
"10. p. 146-149 - September 5 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p004.txt",52,30 Knight Companion,Norfolk 275 bdls and 2,LONDON,"720 pcs lumber Leary & Co; 1 car lumber Tagart & Co; 1,776 pcs and 2 cars lumber Jarratt & Co; 1,665 pcs lumber Pomeroy & Co; 1,410 bdls lumber Langrien, Beeston & Co; 28,380 pcs lumber L C Hay; 446 bdls and 12,129 pcs lumber Churchill & Sim; 2",585 pcs lumber,,,1899,4,2,1899,True,"30 Knight Companion (s) @ Norfolk 275 bdls and 2,720 pcs lumber Leary & Co; 1 car lumber Tagart & Co; 1,776 pcs and 2 cars lumber Jarratt & Co; 1,665 pcs lumber Pomeroy & Co; 1,410 bdls lumber Langrien, Beeston & Co; 28,380 pcs lumber L C Hay; 446 bdls and 12,129 pcs lumber Churchill & Sim; 2,585 pcs lumber.",MULTI_SPLIT,True,Knight Companion,0.9143,Similar to original_extracted_ship
"10. p. 146-149 - September 5 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p004.txt",59,Marion,Quebec,GREENOCK,4 pcs,,,,1875,7,8,1875,False,"Marion @ Quebec, 4 pcs. white wood, 395 pcs. red pine, 131 pcs. waney white pine, 146 pcs. square white pine, 1,799 deals, 3,600 W.O. W.I. staves, 1,580 pipe staves, 296 pcs. birch, Allison, Cousland & Hamilton.",MULTI_SPLIT,True,Marion,1.0000,Similar to original_extracted_ship
"11. 171-173 - September 15 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p002.txt",3,Rolla,Gothenburg,NEW YORK,—970 pcs,,,,1874,22,8,1874,True,"Rolla (s) @ Gothenburg,—970 pcs. deals, 783 pcs. deal ends, 1,572 pcs. pipe staves, Order.",MULTI_SPLIT,True,Rolla,1.0000,Similar to original_extracted_ship
